GHO_DISPLAY,STARTYEAR,DIMENSION_TYPE,DIMENSION_NAME,Numeric
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2003,EDUCATIONLEVEL,None,54.5999984741211
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2011,WEALTHQUINTILE,Q4,2.70000004768372
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q4,10.3000001907349
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2021,EDUCATIONLEVEL,Total,11.6000003814697
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,Total,33.0999984741211
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",1990,EDUCATIONLEVEL,None and primary education,50.7999992370605
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q3,27.1000003814697
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2016,WEALTHQUINTILE,Q5 (Richest),9.19999980926514
"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,None and primary education,49.2999992370605
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2021,EDUCATIONLEVEL,Total,1.70000004768372
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2003,WEALTHQUINTILE,Q1 (Poorest),33.5
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2018,EDUCATIONLEVEL,Higher education,4.80000019073486
"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",1993,WEALTHQUINTILE,Total,20.6000003814697
"Overweight prevalence among children under 5 years of age (% weight-for-height >+2 SD), survey-based estimates",2018,RESIDENCEAREATYPE,Total,2.09999990463257
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2011,EDUCATIONLEVEL,Total,24.2000007629395
"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",1990,WEALTHQUINTILE,Total,33.0999984741211
